"Estado","Semana_Epidemiologica","Anio","Incidencia","n","fecha"
"BAJA CALIFORNIA",29,2018,2,2,"2018-07-15"
"CHIHUAHUA",29,2018,0,0,"2018-07-15"
"CIUDAD DE MÉXICO",29,2018,2,2,"2018-07-15"
"DURANGO",29,2018,0,0,"2018-07-15"
"QUERÉTARO",29,2018,3,3,"2018-07-15"
"SONORA",29,2018,12,12,"2018-07-15"
"TLAXCALA",29,2018,0,0,"2018-07-15"
"ZACATECAS",29,2018,1,1,"2018-07-15"
"CHIAPAS",30,2018,256,256,"2018-07-22"
"VERACRUZ",30,2018,230,230,"2018-07-22"
"JALISCO",30,2018,167,167,"2018-07-22"
"QUINTANA ROO",30,2018,32,32,"2018-07-22"
"TABASCO",30,2018,13,13,"2018-07-22"
"OAXACA",30,2018,103,103,"2018-07-22"
"GUERRERO",30,2018,55,55,"2018-07-22"
"MICHOACÁN",30,2018,46,46,"2018-07-22"
"MORELOS",30,2018,17,17,"2018-07-22"
"PUEBLA",30,2018,9,9,"2018-07-22"
"SAN LUIS POTOSÍ",30,2018,40,40,"2018-07-22"
"TAMAULIPAS",30,2018,35,35,"2018-07-22"
"NAYARIT",30,2018,14,14,"2018-07-22"
"HIDALGO",30,2018,4,4,"2018-07-22"
"COLIMA",30,2018,26,26,"2018-07-22"
"NUEVO LEÓN",30,2018,67,67,"2018-07-22"
"CAMPECHE",30,2018,13,13,"2018-07-22"
"SINALOA",30,2018,15,15,"2018-07-22"
"GUANAJUATO",30,2018,23,23,"2018-07-22"
"YUCATÁN",30,2018,29,29,"2018-07-22"
"MÉXICO",30,2018,24,24,"2018-07-22"
"BAJA CALIFORNIA SUR",30,2018,11,11,"2018-07-22"
"COAHUILA",30,2018,3,3,"2018-07-22"
"AGUASCALIENTES",30,2018,2,2,"2018-07-22"
"BAJA CALIFORNIA",30,2018,2,2,"2018-07-22"
"CHIHUAHUA",30,2018,0,0,"2018-07-22"
"CIUDAD DE MÉXICO",30,2018,0,0,"2018-07-22"
"DURANGO",30,2018,2,2,"2018-07-22"
"QUERÉTARO",30,2018,2,2,"2018-07-22"
"SONORA",30,2018,9,9,"2018-07-22"
"TLAXCALA",30,2018,0,0,"2018-07-22"
"ZACATECAS",30,2018,1,1,"2018-07-22"
"VERACRUZ",31,2018,263,263,"2018-07-29"
"CHIAPAS",31,2018,255,255,"2018-07-29"
"JALISCO",31,2018,245,245,"2018-07-29"
"QUINTANA ROO",31,2018,30,30,"2018-07-29"
"OAXACA",31,2018,109,109,"2018-07-29"
"TABASCO",31,2018,8,8,"2018-07-29"
"MORELOS",31,2018,35,35,"2018-07-29"
"GUERRERO",31,2018,40,40,"2018-07-29"
"MICHOACÁN",31,2018,39,39,"2018-07-29"
"PUEBLA",31,2018,16,16,"2018-07-29"
"SAN LUIS POTOSÍ",31,2018,31,31,"2018-07-29"
"HIDALGO",31,2018,7,7,"2018-07-29"
"NAYARIT",31,2018,18,18,"2018-07-29"
"TAMAULIPAS",31,2018,22,22,"2018-07-29"
"NUEVO LEÓN",31,2018,97,97,"2018-07-29"
"COLIMA",31,2018,32,32,"2018-07-29"
"SINALOA",31,2018,13,13,"2018-07-29"
"CAMPECHE",31,2018,9,9,"2018-07-29"
"GUANAJUATO",31,2018,9,9,"2018-07-29"
"YUCATÁN",31,2018,28,28,"2018-07-29"
"MÉXICO",31,2018,27,27,"2018-07-29"
"BAJA CALIFORNIA SUR",31,2018,16,16,"2018-07-29"
"COAHUILA",31,2018,1,1,"2018-07-29"
"SONORA",31,2018,13,13,"2018-07-29"
"AGUASCALIENTES",31,2018,0,0,"2018-07-29"
"BAJA CALIFORNIA",31,2018,5,5,"2018-07-29"
"CHIHUAHUA",31,2018,1,1,"2018-07-29"
"CIUDAD DE MÉXICO",31,2018,3,3,"2018-07-29"
"DURANGO",31,2018,0,0,"2018-07-29"
"QUERÉTARO",31,2018,1,1,"2018-07-29"
"TLAXCALA",31,2018,0,0,"2018-07-29"
"ZACATECAS",31,2018,0,0,"2018-07-29"
"VERACRUZ",32,2018,235,235,"2018-08-05"
"CHIAPAS",32,2018,195,195,"2018-08-05"
"JALISCO",32,2018,273,273,"2018-08-05"
"QUINTANA ROO",32,2018,30,30,"2018-08-05"
"OAXACA",32,2018,105,105,"2018-08-05"
"TABASCO",32,2018,16,16,"2018-08-05"
"MICHOACÁN",32,2018,61,61,"2018-08-05"
"MORELOS",32,2018,49,49,"2018-08-05"
